Simulation,deck_width,deck_width_norm,deck_thickness,deck_thickness_norm,battery_case_thickness,battery_case_thickness_norm,material_density,material_density_norm,mass,mass_norm,displacement,displacement_norm,von_mises_stress,von_mises_stress_norm,stress_safety_factor,stress_safety_factor_norm,deflection_safety_factor,deflection_safety_factor_norm
4,220.5720173,1.377893739,16.23015449,-0.221327081,4.783139147,-1.222936768,1700,1,4250.5,0.110069313,0.4568,0.15403308,90984000,-0.11497343,1.42882265,-0.211299877,4.378283713,-0.620088892
5,181.825367,0.173314369,13.4453671,-0.498374731,12.69642234,0.103935142,1700,1,3570.05,-0.377691601,0.46161,0.171796611,102916000,0.16366795,1.263166077,-0.559555937,4.332661771,-0.633579382
6,185.0433123,0.273355807,28.75633627,1.024853954,10.38167208,-0.284194162,1700,1,5920.36,1.307060186,0.29821,-0.431646418,87796000,-0.189421027,1.480705271,-0.102228218,6.70668321,0.068422982
7,193.7994425,0.545571693,9.751035099,-0.865909432,11.53323753,-0.091103657,1700,1,3056.63,-0.745721888,0.5824,0.61787913,109098000,0.308032768,1.191589213,-0.710030357,3.434065934,-0.89929577
14,143.6489556,-1.013537067,30.86881716,1.235016449,14.95319259,0.482342558,1700,1,5317.06,0.874602019,0.1786,-0.873371147,62598000,-0.77785595,2.076743666,1.150809797,11.19820829,1.396574938
24,145.8982842,-0.943608577,8.555618728,-0.984836751,7.379346191,-0.787613766,1700,1,2327.23,-1.268571194,0.42906,0.051588101,99210000,0.077123787,1.310351779,-0.460358505,4.661352725,-0.536384882
26,205.487781,0.90894585,19.65716617,0.119612963,23.09937408,1.848266047,1700,1,5365.4,0.909253151,0.25887,-0.576930682,72862000,-0.538166449,1.784194779,0.5357909,7.72588558,0.369802936
31,210.274941,1.057771985,2.110850092,-1.626001679,10.54088089,-0.257498582,1700,1,1786.78,-1.655977155,1.07906,2.452065268,207120000,2.597086187,0.627655465,-1.8955755,1.853465053,-1.366682262
37,136.4056856,-1.23872024,29.81698766,1.130374029,20.06086244,1.338778943,1700,1,5208.63,0.796877108,0.16368,-0.928471331,58944000,-0.863185786,2.20548317,1.421455941,12.21896383,1.698414169
39,139.5493672,-1.140987559,25.35624663,0.686592279,5.337545967,-1.129975754,1700,1,4166.84,0.05010006,0.24262,-0.636942611,67546000,-0.662308049,1.924614337,0.830991755,8.2433435,0.522816163
8,159.3672224,-0.400594209,21.12661528,0.556794169,15.64829552,0.183125088,2700,1,7076.53,0.531323898,0.17751,-0.553761989,43086000,-0.162389018,1.279963329,-0.033001044,11.26697087,0.344876705
9,147.1405189,-0.691270615,18.60673612,0.291860549,16.66218237,0.346212814,2700,1,6289.15,0.142926409,0.17047,-0.619280533,38752000,-0.610751126,1.423113646,0.463873375,11.73226961,0.463512332
12,156.6432672,-0.465353243,6.114414234,-1.021550073,19.27537242,0.766554811,2700,1,4075.32,-0.94910795,0.29961,0.582575258,56143000,1.188387183,0.982286305,-1.066237308,6.675344615,-0.825834546
13,232.0844801,1.328178482,4.562182754,-1.184747702,18.5050141,0.642639616,2700,1,4200.75,-0.88723605,0.3936,1.45730366,57482000,1.326909764,0.959404683,-1.145659363,5.081300813,-1.232262445
17,166.2457032,-0.237065906,26.6044027,1.132714662,20.5290909,0.968220406,2700,1,8807.6,1.385223212,0.15334,-0.778702786,38490000,-0.637855619,1.432800727,0.497497213,13.04291118,0.797682133
23,227.915215,1.229058797,20.37858203,0.478147875,13.22492886,-0.206683063,2700,1,8783.99,1.37357691,0.22733,-0.090106611,43047000,-0.166423656,1.281122959,-0.028975972,8.797782959,-0.284683697
27,121.5120414,-1.300559432,31.80840816,1.679850423,6.168242481,-1.341779089,2700,1,7096.84,0.541342381,0.11427,-1.142312092,29070000,-1.612375939,1.897093223,2.109055394,17.50240658,1.934704431
29,124.2865813,-1.234597803,13.18128388,-0.278557558,5.895985115,-1.385572767,2700,1,4112.11,-0.930960241,0.2145,-0.209510435,43279000,-0.142422731,1.274255413,-0.052813209,9.324009324,-0.150513559
30,218.4869533,1.004912261,3.828850262,-1.261848396,6.798438425,-1.240409569,2700,1,3131.76,-1.414545648,0.44062,1.894900526,58365000,1.418258112,0.944889917,-1.196040084,4.539058599,-1.370516088
33,208.491933,0.767291667,12.09597687,-0.392663948,22.39085001,1.267691752,2700,1,6419.97,0.207457079,0.17887,-0.541104998,38843000,-0.60133697,1.419779626,0.452300999,11.18130486,0.323034734
2,228.2258156,1.458040974,16.28247209,-0.640941485,8.381392453,-0.711726372,2810,1,7486.95,-0.160012083,0.28593,1.794330198,48912000,1.392071724,1.03246647,-1.327084179,6.994718987,-1.556083991
3,173.124763,-0.447452751,27.97435687,1.218051096,4.194128312,-1.533867688,2810,1,8664.46,0.566920466,0.18965,-0.375861517,41605000,-0.487917203,1.213796419,0.43364036,10.54574216,0.241103018
10,197.9868497,0.412323023,17.93852603,-0.377631331,16.30318209,0.843664057,2810,1,7719.83,-0.016244258,0.22845,0.49870681,46696000,0.82192591,1.08146308,-0.851324194,8.754650908,-0.665375417
11,199.1957156,0.454127785,15.20156313,-0.812804429,9.676248132,-0.457490117,2810,1,6538.1,-0.745782012,0.27294,1.501530131,49465000,1.534350892,1.020923886,-1.439163361,7.327617791,-1.387602577
18,213.4573057,0.94731928,24.15883049,0.611387982,7.684244171,-0.848606776,2810,1,9447.63,1.050408304,0.21385,0.169616667,43092000,-0.105332895,1.17191126,0.026932984,9.352349778,-0.362877631
25,191.4755656,0.187151082,29.28368095,1.42623171,18.24796808,1.225509782,2810,1,10727.9,1.840779455,0.15616,-1.130740209,40305000,-0.822389025,1.252946285,0.813787877,12.80737705,1.385725471
28,150.4053557,-1.233130813,22.59919953,0.363408941,11.48161332,-0.103018734,2810,1,7121.57,-0.385578418,0.15812,-1.086560985,37825000,-1.460458348,1.335095836,1.611464888,12.6486213,1.305378552
32,169.0090868,-0.589780254,24.70438205,0.698129882,9.196004307,-0.551782781,2810,1,8069.14,0.199401307,0.18134,-0.563172414,42355000,-0.29495269,1.192303152,0.224939466,11.02900629,0.485684925
38,134.7222191,-1.775481949,10.58243787,-1.547238591,19.72248761,1.515021833,2810,1,4915.73,-1.747347654,0.19048,-0.357152968,44712000,0.311470452,1.129450707,-0.385361499,10.49979,0.21784645
40,203.0346085,0.586883624,14.4104279,-0.938593775,15.17573213,0.622296795,2810,1,6770.12,-0.602545105,0.18633,-0.450695714,40047000,-0.888768818,1.261018303,0.892167658,10.73364461,0.3362012
1,237.9509194,1.399130379,9.092689515,-0.49344243,8.919692047,-1.70421566,7800,1,14771.1,-0.02698262,0.08941,-0.277339305,192912000,0.499273976,1.14349548,-0.577084285,22.36886254,-0.245942186
15,234.8684617,1.322640155,17.19959689,0.463691824,21.26581297,0.776612584,7800,1,7193.87,-1.021212916,0.18641,0.542016605,121288000,-1.539820023,1.818761955,1.783139643,10.72903814,-1.074602579
16,176.7067508,-0.120624488,11.20355745,-0.244224829,22.65315888,1.055385726,7800,1,3568.38,-1.49692396,0.43537,2.644973796,205760000,0.865049132,1.072093701,-0.826651222,4.593793785,-1.511381849
19,164.3078239,-0.428299976,7.611037771,-0.668372224,17.19144201,-0.042091091,7800,1,24509.3,1.250794808,0.05755,-0.546459711,152892000,-0.640072358,1.442809303,0.469091816,34.75238923,0.635663734
20,188.4120363,0.169838506,5.638185679,-0.901295116,21.67823555,0.859484733,7800,1,12649.5,-0.305363901,0.09025,-0.270243852,194780000,0.55245486,1.132529007,-0.615414829,22.16066482,-0.260764163
21,155.8865155,-0.637272106,23.16354504,1.167819649,17.92423363,0.105155981,7800,1,21790.7,0.894079428,0.05106,-0.601280534,154616000,-0.590991072,1.426721685,0.412861596,39.16960439,0.950133362
22,126.5173599,-1.366058506,22.12592527,1.045314064,23.87766589,1.301438034,7800,1,19681.5,0.617325187,0.03934,-0.700279001,128116000,-1.345430799,1.721830216,1.444339159,50.83884087,1.780887656
34,129.5337451,-1.291207852,6.746287193,-0.770468172,12.32554225,-1.019844478,7800,1,10157.6,-0.632333318,0.0827,-0.334018462,195632000,0.576710809,1.127596712,-0.632654424,24.18379686,-0.116733692
35,224.1369095,1.056340047,2.854488112,-1.229949703,14.36604031,-0.609827012,7800,1,9697.05,-0.692763417,0.13201,0.082501538,230016000,1.555603472,0.959037632,-1.221810244,15.1503674,-0.759840061
36,177.3571047,-0.104486159,27.08605422,1.630926937,13.80730704,-0.722098817,7800,1,25748.4,1.413380708,0.05833,-0.539871075,177736000,0.067222003,1.241132916,-0.235817212,34.28767358,0.602579777
,,,,,,,,,,,,,,,,,,
,density,yield,,,,,,,,,,,,,,,,
6061,2700,55148500,,,,,,,,,,,,,,,,
7075,2810,50500000,,,,,,,,,,,,,,,,
mag all,1700,130000000,,,,,,,,,,,,,,,,
plain carbon steel,7800,220594000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,deck_width,deck_thickness,battery_case_thickness,material_density,mass,displacement,von_mises_stress_norm,stress_safety_factor,deflection_safety_factor,,,,,,,,
Average,Magnesium Alloy,176.25,18.45,12.08,1700.00,4096.95,0.42,95907400.00,1.53,6.48,,,,,,,,
,Aluminium Alloy 6061,176.22,15.83,14.51,2700.00,5999.40,0.24,44655700.00,1.29,9.91,,,,,,,,
,Aluminium Alloy 7075,186.06,20.31,12.01,2810.00,7746.14,0.21,43501400.00,1.17,10.07,,,,,,,,
,Plain Carbon Steel,181.57,13.27,17.40,7800.00,14976.74,0.12,175374800.00,1.31,25.82,,,,,,,,
Standard Deviation,Magnesium Alloy,32.17,10.05,5.96,0.00,1395.05,0.27,43634871.38,0.46,3.52,,,,,,,,
,Aluminium Alloy 6061,42.06,9.51,6.22,0.00,2027.25,0.11,9666294.09,0.29,3.92,,,,,,,,
,Aluminium Alloy 7075,28.92,6.29,5.09,0.00,1619.83,0.04,3886725.02,0.10,1.98,,,,,,,,
,Plain Carbon Steel,40.30,8.47,4.98,0.00,7621.20,0.12,35125403.74,0.29,14.05,,,,,,,,
Upper Bound,Magnesium Alloy,1.98,1.35,2.00,0.00,,,,,,,,,,,,,
,Aluminium Alloy 6061,1.52,1.70,1.53,0.00,,,,,,,,,,,,,
,Aluminium Alloy 7075,1.87,1.86,2.35,0.00,,,,,,,,,,,,,
,Plain Carbon Steel,1.45,2.21,1.33,0.00,,,,,,,,,,,,,
Lower Bound,Magnesium Alloy,-1.75,-1.64,-1.69,0.00,,,,,,,,,,,,,
,Aluminium Alloy 6061,-1.34,-1.45,-2.01,0.00,,,,,,,,,,,,,
,Aluminium Alloy 7075,-2.28,-2.91,-1.96,0.00,,,,,,,,,,,,,
,Plain Carbon Steel,-1.53,-1.33,-3.09,0.00,,,,,,,,,,,,,
